IP Address,DNS Name,Vulnerability Name,CVE,Severity,Exploit Available,Patch Priority,Asset Exposure (on 1000),Vulnerability Finding,Summary,Description,Remediation,KB Links,Platform Details,First Discovered,Last Observed,Source Tools,Record Count
10.20.18.46,asset-026.corp.local,Nginx Security Update Available,CVE-2025-2345,High,Yes,P1,810,Nginx Security Update Available detected on 10.20.18.46:443.,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html | https://nginx.org/en/security_advisories.html | 95066 | https://nginx.org/en/security_advisories.html | 95106 | https://nginx.org/en/security_advisories.html | 95146,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Web Server | tcp/443 | Ubuntu 22.04 | Web Server | tcp/443 | Ubuntu 22.04 | Web Server | tcp/443,2026-01-21,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.10.47,asset-027.corp.local,SMB Signing Not Required,,Medium,Yes,P2,650,SMB Signing Not Required detected on 10.20.10.47:445.,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95067 | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95107 | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95147,cpe:/a:mva:windows | MVA Sample Repository | Windows | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | Windows | tcp/445 | RHEL 8 | Windows | tcp/445 | RHEL 8 | Windows | tcp/445,2026-04-17,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.11.48,asset-028.corp.local,Oracle Java Unsupported Version,CVE-2024-20919,Low,No,P4,370,Oracle Java Unsupported Version detected on 10.20.11.48:0.,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,Oracle Java Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95068 | https://www.qualys.com/research/security-alerts/ | 95108 | https://www.qualys.com/research/security-alerts/ | 95148,cpe:/a:mva:general | MVA Sample Repository | General | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Network Appliance | General | tcp/0 | Network Appliance | General | tcp/0 | Network Appliance | General | tcp/0,2025-11-09,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.12.49,asset-029.corp.local,Linux Kernel Security Update Available,CVE-2024-1086,Critical,Yes,P1,980,Linux Kernel Security Update Available detected on 10.20.12.49:0.,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95069 | https://www.qualys.com/research/security-alerts/ | 95109 | https://www.qualys.com/research/security-alerts/ | 95149,cpe:/a:mva:linux | MVA Sample Repository | Linux | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Linux | tcp/0 | Windows Server 2019 | Linux | tcp/0 | Windows Server 2019 | Linux | tcp/0,2026-04-19,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.13.50,asset-030.corp.local,TLS 1.0 Protocol Detection,,High,Yes,P1,810,TLS 1.0 Protocol Detection detected on 10.20.13.50:443.,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95070 | https://www.qualys.com/research/security-alerts/ | 95110 | https://www.qualys.com/research/security-alerts/ | 95150,cpe:/a:mva:ssl | MVA Sample Repository | SSL | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | SSL | tcp/443 | Ubuntu 22.04 | SSL | tcp/443 | Ubuntu 22.04 | SSL | tcp/443,2026-01-20,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.14.51,asset-031.corp.local,Apache Tomcat AJP Request Injection,CVE-2020-1938,Medium,No,P3,650,Apache Tomcat AJP Request Injection detected on 10.20.14.51:8009.,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,Apache Tomcat AJP Request Injection was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html | https://tomcat.apache.org/security-9.html | 95071 | https://tomcat.apache.org/security-9.html | 95111 | https://tomcat.apache.org/security-9.html | 95151,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | Web Application | tcp/8009 | RHEL 8 | Web Application | tcp/8009 | RHEL 8 | Web Application | tcp/8009,2026-04-21,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.15.52,asset-032.corp.local,Apache Log4j Remote Code Execution,CVE-2021-44228,Low,Yes,P2,370,Apache Log4j Remote Code Execution detected on 10.20.15.52:8080.,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,Apache Log4j Remote Code Execution was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html | https://logging.apache.org/log4j/2.x/security.html | 95072 | https://logging.apache.org/log4j/2.x/security.html | 95112 | https://logging.apache.org/log4j/2.x/security.html | 95152,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Network Appliance | Web Application | tcp/8080 | Network Appliance | Web Application | tcp/8080 | Network Appliance | Web Application | tcp/8080,2026-04-22,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.16.53,asset-033.corp.local,Microsoft SQL Server Unsupported Version,,Critical,Yes,P1,980,Microsoft SQL Server Unsupported Version detected on 10.20.16.53:1433.,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support | https://learn.microsoft.com/sql/sql-server/end-of-support | 95073 | https://learn.microsoft.com/sql/sql-server/end-of-support | 95113 | https://learn.microsoft.com/sql/sql-server/end-of-support | 95153,cpe:/a:mva:databases | MVA Sample Repository | Databases | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Database | tcp/1433 | Windows Server 2019 | Database | tcp/1433 | Windows Server 2019 | Database | tcp/1433,2025-11-14,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.17.54,asset-034.corp.local,OpenSSL Security Update Available,CVE-2023-0286,High,Yes,P1,810,OpenSSL Security Update Available detected on 10.20.17.54:443.,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html | https://www.openssl.org/news/vulnerabilities.html | 95074 | https://www.openssl.org/news/vulnerabilities.html | 95114 | https://www.openssl.org/news/vulnerabilities.html | 95154,cpe:/a:mva:general | MVA Sample Repository | General | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | SSL | tcp/443 | Ubuntu 22.04 | SSL | tcp/443 | Ubuntu 22.04 | SSL | tcp/443,2026-01-19,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.18.55,asset-035.corp.local,Remote Desktop Weak Encryption Enabled,,Medium,No,P3,650,Remote Desktop Weak Encryption Enabled detected on 10.20.18.55:3389.,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,Remote Desktop Weak Encryption Enabled was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95075 | https://www.qualys.com/research/security-alerts/ | 95115 | https://www.qualys.com/research/security-alerts/ | 95155,cpe:/a:mva:windows | MVA Sample Repository | Windows | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | Windows | tcp/3389 | RHEL 8 | Windows | tcp/3389 | RHEL 8 | Windows | tcp/3389,2026-04-25,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.10.56,asset-036.corp.local,Nginx Security Update Available,CVE-2025-2345,Low,No,P4,370,Nginx Security Update Available detected on 10.20.10.56:443.,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,Nginx Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html | https://nginx.org/en/security_advisories.html | 95076 | https://nginx.org/en/security_advisories.html | 95116 | https://nginx.org/en/security_advisories.html | 95156,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Network Appliance | Web Server | tcp/443 | Network Appliance | Web Server | tcp/443 | Network Appliance | Web Server | tcp/443,2026-04-01,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.11.57,asset-037.corp.local,SMB Signing Not Required,,Critical,Yes,P1,980,SMB Signing Not Required detected on 10.20.11.57:445.,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95077 | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95117 | https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always | 95157,cpe:/a:mva:windows | MVA Sample Repository | Windows | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows | tcp/445 | Windows Server 2019 | Windows | tcp/445 | Windows Server 2019 | Windows | tcp/445,2026-01-17,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.12.58,asset-038.corp.local,Oracle Java Unsupported Version,CVE-2024-20919,High,Yes,P1,810,Oracle Java Unsupported Version detected on 10.20.12.58:0.,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95078 | https://www.qualys.com/research/security-alerts/ | 95118 | https://www.qualys.com/research/security-alerts/ | 95158,cpe:/a:mva:general | MVA Sample Repository | General | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | General | tcp/0 | Ubuntu 22.04 | General | tcp/0 | Ubuntu 22.04 | General | tcp/0,2026-04-03,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.13.59,asset-039.corp.local,Linux Kernel Security Update Available,CVE-2024-1086,Medium,Yes,P2,650,Linux Kernel Security Update Available detected on 10.20.13.59:0.,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,Linux Kernel Security Update Available was identified during the monthly vulnerability report.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95079 | https://www.qualys.com/research/security-alerts/ | 95119 | https://www.qualys.com/research/security-alerts/ | 95159,cpe:/a:mva:linux | MVA Sample Repository | Linux | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | Linux | tcp/0 | RHEL 8 | Linux | tcp/0 | RHEL 8 | Linux | tcp/0,2025-11-20,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.14.60,asset-040.corp.local,TLS 1.0 Protocol Detection,,Low,No,P4,370,TLS 1.0 Protocol Detection detected on 10.20.14.60:443.,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,TLS 1.0 Protocol Detection was identified during the monthly vulnerability report.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.tenable.com/plugins | https://www.qualys.com/research/security-alerts/ | 95080 | https://www.qualys.com/research/security-alerts/ | 95120 | https://www.qualys.com/research/security-alerts/ | 95160,cpe:/a:mva:ssl | MVA Sample Repository | SSL | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Appliance OS | Appliance OS | server | Network Appliance | SSL | tcp/443 | Network Appliance | SSL | tcp/443 | Network Appliance | SSL | tcp/443,2026-04-05,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.11.21,asset-001.corp.local,Apache Tomcat AJP Request Injection,CVE-2020-1938,Critical,Yes,P1,980,Apache Tomcat AJP Request Injection detected on 10.20.11.21:8009.,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html | https://tomcat.apache.org/security-9.html | 95081 | https://tomcat.apache.org/security-9.html | 95121 | https://tomcat.apache.org/security-9.html | 95161,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Windows Server 2019 | server | Windows Server 2019 | Web Application | tcp/8009 | Windows Server 2019 | Web Application | tcp/8009 | Windows Server 2019 | Web Application | tcp/8009,2026-01-16,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.12.22,asset-002.corp.local,Apache Log4j Remote Code Execution,CVE-2021-44228,High,Yes,P1,810,Apache Log4j Remote Code Execution detected on 10.20.12.22:8080.,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html | https://logging.apache.org/log4j/2.x/security.html | 95082 | https://logging.apache.org/log4j/2.x/security.html | 95122 | https://logging.apache.org/log4j/2.x/security.html | 95162,cpe:/a:mva:web_servers | MVA Sample Repository | Web Servers | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Ubuntu 22.04 | server | Ubuntu 22.04 | Web Application | tcp/8080 | Ubuntu 22.04 | Web Application | tcp/8080 | Ubuntu 22.04 | Web Application | tcp/8080,2026-04-07,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
10.20.13.23,asset-003.corp.local,Microsoft SQL Server Unsupported Version,,Medium,No,P3,650,Microsoft SQL Server Unsupported Version detected on 10.20.13.23:1433.,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,Microsoft SQL Server Unsupported Version was identified during the monthly vulnerability report.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support | https://learn.microsoft.com/sql/sql-server/end-of-support | 95083 | https://learn.microsoft.com/sql/sql-server/end-of-support | 95123 | https://learn.microsoft.com/sql/sql-server/end-of-support | 95163,cpe:/a:mva:databases | MVA Sample Repository | Databases | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | RHEL 8 | server | RHEL 8 | Database | tcp/1433 | RHEL 8 | Database | tcp/1433 | RHEL 8 | Database | tcp/1433,2026-04-08,2026-07-31,Tenable.sc + Tenable.io + Qualys,1
